Fabricante,Edad,Primera Dosis,Primera Dosis (std),Segunda Dosis,Segunda Dosis (std),Cuarta Dosis,Cuarta Dosis (std),Dosis Refuerzo,Dosis Refuerzo (std),Dosis Única,Unica Dosis
Campaña SARS-CoV-2 (Moderna),20,0.0,0.0,0.0,0.0,84994.0,84994.0,9217.0,9217.0,0.0,0.0
Campaña SARS-CoV-2 (Pfizer),20,67860.0,67860.0,65987.0,65987.0,94283.0,94283.0,226524.0,226524.0,0.0,0.0
Campaña SARS-CoV-2 (Sinovac),20,175677.0,175677.0,172637.0,172637.0,101.0,101.0,222.0,222.0,0.0,0.0
,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (AstraZeneca),21,1054.0,1054.0,43.0,43.0,0.0,0.0,2.0,2.0,0.0,0.0
CanSino,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18678.0,18678.0
Campaña SARS-CoV-2 (Janssen),21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (Moderna),21,0.0,0.0,0.0,0.0,81518.0,81518.0,9504.0,9504.0,0.0,0.0
Campaña SARS-CoV-2 (Pfizer),21,58235.0,58235.0,56163.0,56163.0,94273.0,94273.0,223515.0,223515.0,0.0,0.0
Campaña SARS-CoV-2 (Sinovac),21,187074.0,187074.0,183659.0,183659.0,97.0,97.0,203.0,203.0,0.0,0.0
,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (AstraZeneca),22,1479.0,1479.0,53.0,53.0,0.0,0.0,2.0,2.0,0.0,0.0
CanSino,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23494.0,23494.0
Campaña SARS-CoV-2 (Janssen),22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (Moderna),22,0.0,0.0,0.0,0.0,81998.0,81998.0,9870.0,9870.0,0.0,0.0
Campaña SARS-CoV-2 (Pfizer),22,59422.0,59422.0,57699.0,57699.0,99842.0,99842.0,233360.0,233360.0,0.0,0.0
Campaña SARS-CoV-2 (Sinovac),22,192726.0,192726.0,189220.0,189220.0,126.0,126.0,242.0,242.0,0.0,0.0
,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (AstraZeneca),23,13817.0,13817.0,50.0,50.0,0.0,0.0,1.0,1.0,0.0,0.0
CanSino,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38024.0,38024.0
Campaña SARS-CoV-2 (Janssen),23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Campaña SARS-CoV-2 (Moderna),23,0.0,0.0,0.0,0.0,80765.0,80765.0,9938.0,9938.0,0.0,0.0
Campaña SARS-CoV-2 (Pfizer),23,90396.0,90396.0,100681.0,100681.0,104258.0,104258.0,238313.0,238313.0,0.0,0.0
Campaña SARS-CoV-2 (Sinovac),23,141729.0,141729.0,138206.0,138206.0,104.0,104.0,247.0,247.0,0.0,0.0
,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (AstraZeneca),24,20445.0,20445.0,69.0,69.0,0.0,0.0,5.0,5.0,0.0,0.0
CanSino,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29628.0,29628.0
Campaña SARS-CoV-2 (Janssen),24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (Moderna),24,0.0,0.0,0.0,0.0,81588.0,81588.0,10353.0,10353.0,0.0,0.0
Campaña SARS-CoV-2 (Pfizer),24,97509.0,97509.0,114337.0,114337.0,108581.0,108581.0,244938.0,244938.0,0.0,0.0
Campaña SARS-CoV-2 (Sinovac),24,144577.0,144577.0,141006.0,141006.0,126.0,126.0,276.0,276.0,0.0,0.0
,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
